FIPStxt,State,Area_Name,Attribute,Value
9000,CT,Connecticut,RESIDUAL_2021,1485
9000,CT,Connecticut,RESIDUAL_2022,-1205
9000,CT,Connecticut,RESIDUAL_2023,107
9000,CT,Connecticut,GQ_ESTIMATES_BASE_2020,107997
9000,CT,Connecticut,GQ_ESTIMATES_2020,86236
9000,CT,Connecticut,GQ_ESTIMATES_2021,98801
9000,CT,Connecticut,GQ_ESTIMATES_2022,103248
9000,CT,Connecticut,GQ_ESTIMATES_2023,103382
9000,CT,Connecticut,R_BIRTH_2021,9.5
9000,CT,Connecticut,R_BIRTH_2022,9.9
9000,CT,Connecticut,R_BIRTH_2023,9.7
9000,CT,Connecticut,R_DEATH_2021,9.6
9000,CT,Connecticut,R_DEATH_2022,9.7
9000,CT,Connecticut,R_DEATH_2023,9.1
9000,CT,Connecticut,R_NATURAL_CHG_2021,-0.2
9000,CT,Connecticut,R_NATURAL_CHG_2022,0.2
9000,CT,Connecticut,R_NATURAL_CHG_2023,0.6
9000,CT,Connecticut,R_INTERNATIONAL_MIG_2021,1.7
9000,CT,Connecticut,R_INTERNATIONAL_MIG_2022,4.3
9000,CT,Connecticut,R_INTERNATIONAL_MIG_2023,4.2
9000,CT,Connecticut,R_DOMESTIC_MIG_2021,5.3
9000,CT,Connecticut,R_DOMESTIC_MIG_2022,-2.8
9000,CT,Connecticut,R_DOMESTIC_MIG_2023,-2.5
9000,CT,Connecticut,R_NET_MIG_2021,7
9000,CT,Connecticut,R_NET_MIG_2022,1.5
9000,CT,Connecticut,R_NET_MIG_2023,1.7
10000,DE,Delaware,CENSUS_2020_POP,989948
10000,DE,Delaware,ESTIMATES_BASE_2020,989946
10000,DE,Delaware,POP_ESTIMATE_2020,991862
10000,DE,Delaware,POP_ESTIMATE_2021,1004881
10000,DE,Delaware,POP_ESTIMATE_2022,1019459
10000,DE,Delaware,POP_ESTIMATE_2023,1031890
10000,DE,Delaware,N_POP_CHG_2020,1916
10000,DE,Delaware,N_POP_CHG_2021,13019
10000,DE,Delaware,N_POP_CHG_2022,14578
10000,DE,Delaware,N_POP_CHG_2023,12431
10000,DE,Delaware,BIRTHS_2020,2579
10000,DE,Delaware,BIRTHS_2021,10174
10000,DE,Delaware,BIRTHS_2022,10883
10000,DE,Delaware,BIRTHS_2023,10725
10000,DE,Delaware,DEATHS_2020,2959
10000,DE,Delaware,DEATHS_2021,11228
10000,DE,Delaware,DEATHS_2022,11488
10000,DE,Delaware,DEATHS_2023,10897
10000,DE,Delaware,NATURAL_CHG_2020,-380
10000,DE,Delaware,NATURAL_CHG_2021,-1054
10000,DE,Delaware,NATURAL_CHG_2022,-605
10000,DE,Delaware,NATURAL_CHG_2023,-172
10000,DE,Delaware,INTERNATIONAL_MIG_2020,62
10000,DE,Delaware,INTERNATIONAL_MIG_2021,939
10000,DE,Delaware,INTERNATIONAL_MIG_2022,2378
10000,DE,Delaware,INTERNATIONAL_MIG_2023,2277
10000,DE,Delaware,DOMESTIC_MIG_2020,2195
10000,DE,Delaware,DOMESTIC_MIG_2021,13284
10000,DE,Delaware,DOMESTIC_MIG_2022,12669
10000,DE,Delaware,DOMESTIC_MIG_2023,10320
