FIPS Code,State,Area name,Attribute,Value
30000,MT,Montana,"Percent of adults who are high school graduates (or equivalent), 2019-23",27.8786502
30000,MT,Montana,"Percent of adults completing some college or associate degree, 2019-23",32.15328396
30000,MT,Montana,"Percent of adults with a bachelor's degree or higher, 2019-23",34.53899927
31000,NE,Nebraska,"Less than high school graduate, 2019-23",102256
31000,NE,Nebraska,"High school graduate (or equivalency), 2019-23",324253
31000,NE,Nebraska,"Some college or associate degree, 2019-23",423513
31000,NE,Nebraska,"Bachelor's degree or higher, 2019-23",440234
31000,NE,Nebraska,"Percent of adults who are not high school graduates, 2019-23",7.925248943
31000,NE,Nebraska,"Percent of adults who are high school graduates (or equivalent), 2019-23",25.13090425
31000,NE,Nebraska,"Percent of adults completing some college or associate degree, 2019-23",32.82395122
31000,NE,Nebraska,"Percent of adults with a bachelor's degree or higher, 2019-23",34.11989559
32000,NV,Nevada,"Less than high school graduate, 2019-23",277389
32000,NV,Nevada,"High school graduate (or equivalency), 2019-23",602478
32000,NV,Nevada,"Some college or associate degree, 2019-23",714821
32000,NV,Nevada,"Bachelor's degree or higher, 2019-23",601393
32000,NV,Nevada,"Percent of adults who are not high school graduates, 2019-23",12.63109148
32000,NV,Nevada,"Percent of adults who are high school graduates (or equivalent), 2019-23",27.43423398
32000,NV,Nevada,"Percent of adults completing some college or associate degree, 2019-23",32.54984675
32000,NV,Nevada,"Percent of adults with a bachelor's degree or higher, 2019-23",27.38482779
33000,NH,New Hampshire,"Less than high school graduate, 2019-23",59997
33000,NH,New Hampshire,"High school graduate (or equivalency), 2019-23",272558
33000,NH,New Hampshire,"Some college or associate degree, 2019-23",274829
33000,NH,New Hampshire,"Bachelor's degree or higher, 2019-23",401838
33000,NH,New Hampshire,"Percent of adults who are not high school graduates, 2019-23",5.94487635
33000,NH,New Hampshire,"Percent of adults who are high school graduates (or equivalent), 2019-23",27.00674381
33000,NH,New Hampshire,"Percent of adults completing some college or associate degree, 2019-23",27.23176863
33000,NH,New Hampshire,"Percent of adults with a bachelor's degree or higher, 2019-23",39.81661121
34000,NJ,New Jersey,"Less than high school graduate, 2019-23",600736
34000,NJ,New Jersey,"High school graduate (or equivalency), 2019-23",1662983
34000,NJ,New Jersey,"Some college or associate degree, 2019-23",1423815
34000,NJ,New Jersey,"Bachelor's degree or higher, 2019-23",2771686
34000,NJ,New Jersey,"Percent of adults who are not high school graduates, 2019-23",9.300441849
34000,NJ,New Jersey,"Percent of adults who are high school graduates (or equivalent), 2019-23",25.74587953
34000,NJ,New Jersey,"Percent of adults completing some college or associate degree, 2019-23",22.04314143
34000,NJ,New Jersey,"Percent of adults with a bachelor's degree or higher, 2019-23",42.91053719
35000,NM,New Mexico,"Less than high school graduate, 2019-23",178146
35000,NM,New Mexico,"High school graduate (or equivalency), 2019-23",373330
35000,NM,New Mexico,"Some college or associate degree, 2019-23",461295
35000,NM,New Mexico,"Bachelor's degree or higher, 2019-23",438228
